country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9,field_37,field_38,field_39,SAMPLE_1
EGY,Egypt,Shabab,WRI1000078,100.000000000000000,30.465900000000001,31.926900000000000,Gas,,,,1982.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014139",,,251.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,463.930000000000007,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,13493.047851562500000
EGY,Egypt,Shalateen A,WKS0069386,4.500000000000000,23.127199999999998,35.612400000000001,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"9.33","9.33",9.330000000000000,9.350000000000000,9.210000000000001,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,Sharm El-Sheikh,WRI1000085,144.000000000000000,27.877300000000002,34.304800000000000,Oil,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014131",,,48.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,,,,
EGY,Egypt,Sharm el Sheikh,WKS0073928,5.000000000000000,27.933499999999999,34.298600000000000,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"11.30","11.30",11.300000000000001,11.330000000000000,11.230000000000000,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,Shoubra El-Kheima,WRI1000067,1295.000000000000000,30.123899999999999,31.237600000000000,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014132",,,5841.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,6008.020000000000437,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,10278.445312500000000
EGY,Egypt,Sidi Krir,WRI1000100,2092.000000000000000,31.042999999999999,29.665199999999999,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,,,,3703.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,9705.620000000000800,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,Siwa,WKS0068927,10.000000000000000,29.178000000000001,25.515999999999998,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"16.10","16.05",16.010000000000002,16.039999999999999,16.170000000000002,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,6341.626464843750000
EGY,Egypt,Suez Gulf,WRI1000088,683.000000000000000,29.618800000000000,32.353200000000001,Gas,,,,2002.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1044125",,,,,,,,,,,,,,3168.699999999999818,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,Talkha,WRI1000090,1460.000000000000000,31.062200000000001,31.392099999999999,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,,,,9383.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,6773.520000000000437,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,9766.102539062500000
EGY,Egypt,Toshka,WKS0071153,20.000000000000000,23.539999999999999,30.210000000000001,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"40.13","39.36",39.390000000000001,39.600000000000001,39.740000000000002,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
