fid,Plant,MW,Country,MWh,GEN_TYPE,SAMPLE_1,latitude,longitude
1220,GOJEB,0.000000000000000,ETHIOPIA,"0",Water,735.986755371093750,7.235,36.913
1246,GRAND FULA,0.000000000000000,SOUTH SUDAN,"0",Water,1.771630883216858,4.614,31.263
1248,GRAND RENAISSANCE,0.000000000000000,ETHIOPIA,"0",Water,83.115005493164063,10.780,35.566
1263,GUIRGA MILL,10.000000000000000,EGYPT,"43858.550752237665",Oil,13716.791015625001819,26.346,31.886
1265,GULF OF SUEZ,0.000000000000000,EGYPT,"0",Wind,,29.967,32.550
1268,GUNEID SUGAR,7.780000000000000,SUDAN,"4524.6842105263158",Biomass,3259.118896484375000,14.792,33.307
1277,HAI ERAP,1.200000000000000,SOUTH SUDAN,"6555.0000000000018",Oil,813.266296386718750,4.095,30.678
1282,HALELE,0.000000000000000,ETHIOPIA,"0",Water,1357.887573242187500,8.590,37.210
1286,HAMRAWEIN (SAFAGA),0.000000000000000,EGYPT,"0",Coal,,26.750,33.936
1289,HARAR BREWERY,1.665000000000000,ETHIOPIA,"42.947238092781504",Oil,1287.114501953125227,9.309,42.126
1305,HAWAMDIA FACTORY,16.000000000000000,EGYPT,"74316.417910447766",Biomass,6874.718261718750000,29.900,31.250
1306,HAWZEIN,0.150000000000000,ETHIOPIA,"3.8691205488992337",Oil,2666.306396484375000,13.978,39.430
1308,HELWAN,121.000000000000000,EGYPT,"530688.46410207578",Oil,6874.718261718750000,29.850,31.333
1309,HELIOPOLIS,0.000000000000000,EGYPT,"0",Oil,1443.294067382812500,30.100,31.333
1310,HELWAN SEMADCO,3.200000000000000,EGYPT,"14034.736240716054",Oil,6874.718261718750000,29.841,31.301
1335,HURGHADA,140.099999999999994,EGYPT,"614458.29603884974",Oil,,27.239,33.836
1336,HURGHADA WIND,4.000000000000000,EGYPT,"10976",Wind,,27.257,33.813
1337,HURGHADA NORTH,0.000000000000000,EGYPT,"0",Sun,,27.257,33.813
1338,HURGHADA SOUTH,0.000000000000000,EGYPT,"0",Wind,,27.258,33.812
1353,IDKU TERMINAL,68.000000000000000,EGYPT,"336701.47926406935",NG,5464.100097656250000,31.306,30.299
1418,ISMAILIA,20.000000000000000,EGYPT,"87717.101504475329",Oil,19871.521484375000000,30.583,32.267
1443,JEBEL AULIA DAM,28.800000000000004,SUDAN,"145536.53025357772",Water,1001.035705566406250,15.247,32.467
1450,JINKA,0.705000000000000,ETHIOPIA,"18.184866579826405",Oil,106.029594421386719,5.650,36.650
1472,KADUGLI,2.000000000000000,SUDAN,"5764.2878058832239",Oil,198.139785766601563,11.017,29.717
