fid,Plant,MW,Country,MWh,GEN_TYPE,Yield[K$/h,longitude,latitude
1551,KASSALA,12.299999999999997,SUDAN,"35450.370006181824",Oil,2.061939716339111,36.400,15.457
1572,KEBRI DEHAR,0.300000000000000,ETHIOPIA,"7.7382410977984675",Oil,,44.278,6.740
1578,KENANA,40.000000000000000,SUDAN,"23263.15789473684",Biomass,0.292206406593323,33.167,14.033
1590,KHARTOUM REFINERY,20.000000000000000,SUDAN,"57642.878058832241",Oil,,32.688,16.132
1594,KHARTOUM TRAIN HOSPITAL,0.270000000000000,SUDAN,"778.17885379423547",Oil,3.083911180496216,32.532,15.552
1595,KHASM EL GIRBA,17.800000000000001,SUDAN,"89949.661059502876",Water,0.310807764530182,35.908,14.922
1596,KHASM EL GIRBA,0.000000000000000,SUDAN,"0",Oil,0.310807764530182,35.908,14.922
1632,KILO-X DIT,260.000000000000000,SUDAN,"749357.4147648192",Oil,0.931748449802399,32.534,15.588
1634,KILO-X NEC,0.000000000000000,SUDAN,"0",NG,0.931748449802399,32.534,15.588
1637,KIMA PLANT,0.000000000000000,EGYPT,"0",Oil,10.984801292419434,32.900,24.089
1647,KINETI RIVER,0.000000000000000,SOUTH SUDAN,"0",Water,0.897109866142273,32.574,4.410
1674,KIRIAZI FACTORY,12.000000000000000,EGYPT,"52630.260902685201",Oil,7.833873271942140,31.742,30.293
1706,KOM OMBO ECSED,50.000000000000000,EGYPT,"76911.76470588235",Sun,3.509179115295410,32.946,24.477
1707,KOM OMBO CAPITAL,0.000000000000000,EGYPT,"0",Sun,8.013953208923340,32.882,24.442
1723,KOREM,1.291000000000000,ETHIOPIA,"33.300230857526074",Oil,1.935235381126404,39.523,12.506
1726,KOSTI,500.000000000000000,SUDAN,"1441071.951470806",Oil,0.891130924224854,32.740,13.181
1742,KOYSHA DAM,0.000000000000000,ETHIOPIA,"0",Water,,0.000,0.000
1764,KUKU,0.000000000000000,SUDAN,"0",Oil,0.940546214580536,31.686,5.886
1807,LAKE BURULLUS,0.000000000000000,EGYPT,"0",NG,15.660756111145020,30.417,31.401
1808,LAKE BURULLUS,0.000000000000000,EGYPT,"0",waste heat,15.660756111145020,30.417,31.401
