r,l,t,m,y,RateOfActivity
REGION,S4D1,EGWA00000X,1,2047, 1.1439022644240047e+04
REGION,S4D2,EGWA00000X,1,2047, 1.1842014741978668e+04
REGION,S1D1,EGWA00000X,1,2048, 1.3599300786972322e+04
REGION,S1D2,EGWA00000X,1,2048, 8.9777911920190745e+03
REGION,S2D1,EGWA00000X,1,2048, 1.7171714716623679e+04
REGION,S2D2,EGWA00000X,1,2048, 1.1550343948934244e+04
REGION,S3D1,EGWA00000X,1,2048, 1.6232874934463760e+04
REGION,S3D2,EGWA00000X,1,2048, 1.1419649069471941e+04
REGION,S4D1,EGWA00000X,1,2048, 1.1921310573419014e+04
REGION,S4D2,EGWA00000X,1,2048, 1.0574345958241031e+04
REGION,S1D1,EGWA00000X,1,2049, 1.2863216872555240e+04
REGION,S1D2,EGWA00000X,1,2049, 1.0596098109295157e+04
REGION,S2D1,EGWA00000X,1,2049, 1.6523288064312786e+04
REGION,S2D2,EGWA00000X,1,2049, 9.7170275007294349e+03
REGION,S3D1,EGWA00000X,1,2049, 1.5574529770945841e+04
REGION,S3D2,EGWA00000X,1,2049, 1.1470777955834335e+04
REGION,S4D1,EGWA00000X,1,2049, 10982.1678902251
REGION,S4D2,EGWA00000X,1,2049, 1.1033162466688487e+04
REGION,S1D1,EGWA00000X,1,2050, 1.2312501870584623e+04
REGION,S1D2,EGWA00000X,1,2050, 1.0525930362904848e+04
REGION,S2D1,EGWA00000X,1,2050, 1.6064863551993887e+04
REGION,S2D2,EGWA00000X,1,2050, 9.6301342647568235e+03
REGION,S3D1,EGWA00000X,1,2050, 1.5097580051891888e+04
REGION,S3D2,EGWA00000X,1,2050, 1.0782467181012160e+04
REGION,S4D1,EGWA00000X,1,2050, 1.1674796758618375e+04
REGION,S4D2,EGWA00000X,1,2050, 1.1023931400371461e+04
REGION,S1D1,EGWA00000X,1,2051, 1.2426710899125370e+04
REGION,S1D2,EGWA00000X,1,2051, 8.8853238405869124e+03
REGION,S2D1,EGWA00000X,1,2051, 1.6693583716082194e+04
REGION,S2D2,EGWA00000X,1,2051, 1.1629621818578764e+04
REGION,S3D1,EGWA00000X,1,2051, 1.5202021861030191e+04
REGION,S3D2,EGWA00000X,1,2051, 1.1606143116777836e+04
REGION,S4D1,EGWA00000X,1,2051, 1.0285211546762916e+04
REGION,S4D2,EGWA00000X,1,2051, 1.1220128556387903e+04
REGION,S1D1,EGWA00000X,1,2052, 1.2528916690121112e+04
REGION,S1D2,EGWA00000X,1,2052, 9.0026155184146373e+03
REGION,S2D1,EGWA00000X,1,2052, 1.7045595098279860e+04
REGION,S2D2,EGWA00000X,1,2052, 1.1423275191436884e+04
REGION,S3D1,EGWA00000X,1,2052, 1.5446852714825158e+04
REGION,S3D2,EGWA00000X,1,2052, 1.1817834960022621e+04
REGION,S4D1,EGWA00000X,1,2052, 1.1125871286613756e+04
REGION,S4D2,EGWA00000X,1,2052, 1.1017679075326207e+04
REGION,S1D1,EGWA00000X,1,2053, 1.2793386006367418e+04
REGION,S1D2,EGWA00000X,1,2053, 1.1202378357349431e+04
REGION,S2D1,EGWA00000X,1,2053, 1.6870562942985463e+04
REGION,S2D2,EGWA00000X,1,2053, 1.0005139563086130e+04
REGION,S3D1,EGWA00000X,1,2053, 1.5849421180146626e+04
REGION,S3D2,EGWA00000X,1,2053, 1.1005653124593233e+04
REGION,S4D1,EGWA00000X,1,2053, 1.1345483322602036e+04
REGION,S4D2,EGWA00000X,1,2053, 1.0994215501776303e+04
REGION,S1D1,EGWA00000X,1,2054, 1.2679783144596031e+04
REGION,S1D2,EGWA00000X,1,2054, 1.0549360852880531e+04
REGION,S2D1,EGWA00000X,1,2054, 1.6937406860760406e+04
REGION,S2D2,EGWA00000X,1,2054, 9.3791027229138053e+03
REGION,S3D1,EGWA00000X,1,2054, 1.5822779947894762e+04
REGION,S3D2,EGWA00000X,1,2054, 1.1614252099464002e+04
REGION,S4D1,EGWA00000X,1,2054, 1.2285896994549415e+04
REGION,S4D2,EGWA00000X,1,2054, 1.1001052609395891e+04
REGION,S1D1,EGWA00000X,1,2055, 1.3165461541854458e+04
REGION,S1D2,EGWA00000X,1,2055, 1.0739911596193408e+04
REGION,S2D1,EGWA00000X,1,2055, 1.5705891411114084e+04
REGION,S2D2,EGWA00000X,1,2055, 1.1862039088598960e+04
REGION,S3D1,EGWA00000X,1,2055, 1.4725600009557227e+04
REGION,S3D2,EGWA00000X,1,2055, 1.1943765486344517e+04
REGION,S4D1,EGWA00000X,1,2055, 1.1071697733728588e+04
REGION,S4D2,EGWA00000X,1,2055, 8784.23798717044
REGION,S1D1,EGWA00000X,1,2056, 9.8471001407270141e+03
REGION,S1D2,EGWA00000X,1,2056, 1.0683406697601862e+04
REGION,S2D1,EGWA00000X,1,2056, 1.4778352111921660e+04
REGION,S2D2,EGWA00000X,1,2056, 1.1917853566634458e+04
REGION,S3D1,EGWA00000X,1,2056, 13664.6002129959
REGION,S3D2,EGWA00000X,1,2056, 1.1087046977580438e+04
REGION,S4D1,EGWA00000X,1,2056, 1.1581855322977255e+04
REGION,S4D2,EGWA00000X,1,2056, 1.1552496709713892e+04
REGION,S1D1,EGWA00000X,1,2057, 1.2985101798236121e+04
REGION,S1D2,EGWA00000X,1,2057, 9.1247473587328586e+03
REGION,S2D1,EGWA00000X,1,2057, 1.4988696338306641e+04
REGION,S2D2,EGWA00000X,1,2057, 1.2059227850203599e+04
REGION,S3D1,EGWA00000X,1,2057, 1.3855456528768464e+04
REGION,S3D2,EGWA00000X,1,2057, 1.1833537528443421e+04
REGION,S4D1,EGWA00000X,1,2057, 1.1262048729705086e+04
REGION,S4D2,EGWA00000X,1,2057, 1.1176142470265464e+04
REGION,S1D1,EGWA00000X,1,2058, 1.0103885167999599e+04
REGION,S1D2,EGWA00000X,1,2058, 1.0657838002368939e+04
REGION,S2D1,EGWA00000X,1,2058, 1.5134460968973965e+04
REGION,S2D2,EGWA00000X,1,2058, 1.2193234560586339e+04
REGION,S3D1,EGWA00000X,1,2058, 1.3966677028237071e+04
REGION,S3D2,EGWA00000X,1,2058, 1.1904753371619572e+04
REGION,S4D1,EGWA00000X,1,2058, 1.2387227241563736e+04
REGION,S4D2,EGWA00000X,1,2058, 1.0941813634951604e+04
REGION,S1D1,EGWA00000X,1,2059, 1.2516530241612385e+04
REGION,S1D2,EGWA00000X,1,2059, 8596.85835785989
REGION,S2D1,EGWA00000X,1,2059, 1.5332243864360596e+04
REGION,S2D2,EGWA00000X,1,2059, 1.2300410778621166e+04
REGION,S3D1,EGWA00000X,1,2059, 1.4125201375097842e+04
REGION,S3D2,EGWA00000X,1,2059, 1.2240230707163375e+04
REGION,S4D1,EGWA00000X,1,2059, 1.2449951562092969e+04
REGION,S4D2,EGWA00000X,1,2059, 1.1450921382612270e+04
REGION,S1D1,EGWA00000X,1,2060, 1.1606188368378831e+06
REGION,S1D2,EGWA00000X,1,2060, 1.0759485780783452e+04
REGION,S2D1,EGWA00000X,1,2060, 1.1606188368378831e+06
REGION,S2D2,EGWA00000X,1,2060, 1.2367400646942766e+04
REGION,S3D1,EGWA00000X,1,2060, 1.1733728899899481e+06
REGION,S3D2,EGWA00000X,1,2060, 1.1851960683461139e+04
REGION,S4D1,EGWA00000X,1,2060, 1.1864103665453922e+06
REGION,S4D2,EGWA00000X,1,2060, 8.7928053370625476e+03
REGION,S1D1,EGWA00000X,1,2061, 1.2316440970058381e+06
REGION,S1D2,EGWA00000X,1,2061, 1.0705444063815839e+04
REGION,S2D1,EGWA00000X,1,2061, 1.2316440970058390e+06
REGION,S2D2,EGWA00000X,1,2061, 1.0566583017291152e+04
REGION,S3D1,EGWA00000X,1,2061, 1.2451786475223869e+06
REGION,S3D2,EGWA00000X,1,2061, 1.1928508069785206e+04
REGION,S4D1,EGWA00000X,1,2061, 1.1537047220692162e+04
REGION,S4D2,EGWA00000X,1,2061, 1.0795299539821055e+04
REGION,S1D1,EGWA00000X,1,2062, 1.2048182075383247e+04
REGION,S1D2,EGWA00000X,1,2062, 8.5895219107657722e+03
REGION,S2D1,EGWA00000X,1,2062, 1.5289793984377118e+04
REGION,S2D2,EGWA00000X,1,2062, 1.2380395260383746e+04
REGION,S3D1,EGWA00000X,1,2062, 1.3986369367148973e+04
REGION,S3D2,EGWA00000X,1,2062, 1.2169716250864143e+04
REGION,S4D1,EGWA00000X,1,2062, 1.2805007804155282e+04
REGION,S4D2,EGWA00000X,1,2062, 1.1207831989903108e+04
REGION,S1D1,EGWA00000X,1,2063, 1.2961047008673344e+04
REGION,S1D2,EGWA00000X,1,2063, 8594.37612095689
REGION,S2D1,EGWA00000X,1,2063, 1.5316735930667304e+04
