r,l,t,m,y,RateOfActivity
REGION,S2D1,EGWA00000X,1,2054, 4.4697830347644514e+04
REGION,S2D2,EGWA00000X,1,2054, 36860.5723958641
REGION,S3D1,EGWA00000X,1,2054, 4.0115489851294311e+04
REGION,S3D2,EGWA00000X,1,2054, 3.6135637454733325e+04
REGION,S4D1,EGWA00000X,1,2054, 3.7236568372055626e+04
REGION,S4D2,EGWA00000X,1,2054, 2.5938091055974088e+04
REGION,S1D1,EGWA00000X,1,2055, 3.8166630962040406e+04
REGION,S1D2,EGWA00000X,1,2055, 3.0990310981304334e+04
REGION,S2D1,EGWA00000X,1,2055, 4.4238551808451062e+04
REGION,S2D2,EGWA00000X,1,2055, 3.6316495745134423e+04
REGION,S3D1,EGWA00000X,1,2055, 3.9502557160020733e+04
REGION,S3D2,EGWA00000X,1,2055, 2.8287194727533602e+04
REGION,S4D1,EGWA00000X,1,2055, 3.6410233562981564e+04
REGION,S4D2,EGWA00000X,1,2055, 3.3352956273365788e+04
REGION,S1D1,EGWA00000X,1,2056, 3.7425669321142625e+04
REGION,S1D2,EGWA00000X,1,2056, 3.0286253627634393e+04
REGION,S2D1,EGWA00000X,1,2056, 4.3722494753979830e+04
REGION,S2D2,EGWA00000X,1,2056, 3.5666589318151433e+04
REGION,S3D1,EGWA00000X,1,2056, 3.8763566134631641e+04
REGION,S3D2,EGWA00000X,1,2056, 3.2693850802935234e+04
REGION,S4D1,EGWA00000X,1,2056, 2.8453588155516540e+04
REGION,S4D2,EGWA00000X,1,2056, 3.2578627240860518e+04
REGION,S1D1,EGWA00000X,1,2057, 3.5764460786852542e+04
REGION,S1D2,EGWA00000X,1,2057, 3.1622038867225867e+04
REGION,S2D1,EGWA00000X,1,2057, 4.5372554419321510e+04
REGION,S2D2,EGWA00000X,1,2057, 3.7057734002907258e+04
REGION,S3D1,EGWA00000X,1,2057, 4.0166622756367578e+04
REGION,S3D2,EGWA00000X,1,2057, 3.0878431442812645e+04
REGION,S4D1,EGWA00000X,1,2057, 37393.0904402292
REGION,S4D2,EGWA00000X,1,2057, 3.3837664716052066e+04
REGION,S1D1,EGWA00000X,1,2058, 40411.1973247989
REGION,S1D2,EGWA00000X,1,2058, 3.2925480835448005e+04
REGION,S2D1,EGWA00000X,1,2058, 4.6885181697442364e+04
REGION,S2D2,EGWA00000X,1,2058, 3.8427209486148458e+04
REGION,S3D1,EGWA00000X,1,2058, 4.1679249409897733e+04
REGION,S3D2,EGWA00000X,1,2058, 2.9709723140345341e+04
REGION,S4D1,EGWA00000X,1,2058, 3.8808808503238535e+04
REGION,S4D2,EGWA00000X,1,2058, 3.5024704424690579e+04
REGION,S1D1,EGWA00000X,1,2059, 3.7855566303355357e+04
REGION,S1D2,EGWA00000X,1,2059, 3.4167792696814860e+04
REGION,S2D1,EGWA00000X,1,2059, 4.8415048659974374e+04
REGION,S2D2,EGWA00000X,1,2059, 3.9824057443837424e+04
REGION,S3D1,EGWA00000X,1,2059, 4.3209115863509986e+04
REGION,S3D2,EGWA00000X,1,2059, 3.2882195042651561e+04
REGION,S4D1,EGWA00000X,1,2059, 4.0238486771456293e+04
REGION,S4D2,EGWA00000X,1,2059, 36403.0155058466
REGION,S1D1,EGWA00000X,1,2060, 3.9519762758809164e+04
REGION,S1D2,EGWA00000X,1,2060, 3.3906042806851015e+04
REGION,S2D1,EGWA00000X,1,2060, 5.0584158622493756e+04
REGION,S2D2,EGWA00000X,1,2060, 4.1283598570141672e+04
REGION,S3D1,EGWA00000X,1,2060, 4.4742679763531167e+04
REGION,S3D2,EGWA00000X,1,2060, 40527.1165017896
REGION,S4D1,EGWA00000X,1,2060, 3.2933900613608464e+04
REGION,S4D2,EGWA00000X,1,2060, 37693.3371304769
REGION,S1D1,EGWA00000X,1,2061, 4.2099388081610650e+06
REGION,S1D2,EGWA00000X,1,2061, 3.6368032011678704e+04
REGION,S2D1,EGWA00000X,1,2061, 4.2099388081610650e+06
REGION,S2D2,EGWA00000X,1,2061, 4.2059100051464629e+04
REGION,S3D1,EGWA00000X,1,2061, 4.2562018719870122e+06
REGION,S3D2,EGWA00000X,1,2061, 41211.4497612239
REGION,S4D1,EGWA00000X,1,2061, 4303493.00389798
REGION,S4D2,EGWA00000X,1,2061, 2.8802387332842532e+04
REGION,S1D1,EGWA00000X,1,2062, 4.3313600474982969e+06
REGION,S1D2,EGWA00000X,1,2062, 3.7059108064245847e+04
REGION,S2D1,EGWA00000X,1,2062, 5.3031315198605123e+04
REGION,S2D2,EGWA00000X,1,2062, 4.2860630547735724e+04
REGION,S3D1,EGWA00000X,1,2062, 4.6456671577302877e+04
REGION,S3D2,EGWA00000X,1,2062, 32438.455378716
REGION,S4D1,EGWA00000X,1,2062, 4.3180425279388532e+04
REGION,S4D2,EGWA00000X,1,2062, 3.8972939983396362e+04
REGION,S1D1,EGWA00000X,1,2063, 4.6016675059725458e+04
REGION,S1D2,EGWA00000X,1,2063, 3.7865766850449225e+04
REGION,S2D1,EGWA00000X,1,2063, 5.4414001313098910e+04
REGION,S2D2,EGWA00000X,1,2063, 4.3689238502033579e+04
REGION,S3D1,EGWA00000X,1,2063, 4.7340511823220695e+04
REGION,S3D2,EGWA00000X,1,2063, 3.3047888988076556e+04
REGION,S4D1,EGWA00000X,1,2063, 4.3919781895922169e+04
REGION,S4D2,EGWA00000X,1,2063, 3.9630440424819710e+04
REGION,S1D1,EGWA00000X,1,2064, 4.6794425187295805e+04
REGION,S1D2,EGWA00000X,1,2064, 3.8575776291502225e+04
REGION,S2D1,EGWA00000X,1,2064, 5.5318426402385936e+04
REGION,S2D2,EGWA00000X,1,2064, 4.4479861819482867e+04
REGION,S3D1,EGWA00000X,1,2064, 4.8323847144021463e+04
REGION,S3D2,EGWA00000X,1,2064, 4.3617442175897144e+04
REGION,S4D1,EGWA00000X,1,2064, 34888.4535590222
REGION,S4D2,EGWA00000X,1,2064, 3.6108049811343662e+04
