r,t,e,y,AnnualTechnologyEmission
REGION,SDSOFPVSB3,SDREN,2047.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2048.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2049.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2050.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2051.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2052.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2053.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2054.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2055.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2056.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2057.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2058.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2059.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2060.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2061.0,-2.6782
REGION,SDSOFPVSB3,SDREN,2062.0,-2.1844
REGION,SDSOFPVSB3,SDREN,2063.0,-2.1844
REGION,SDSOFPVSB3,SDREN,2064.0,-1.6105
REGION,SDSOFPVSB3,SDREN,2065.0,-1.6105
REGION,SDSOFPVSB3,SDREN,2066.0,-2.1043
REGION,SDSOFPVSB3,SDREN,2067.0,-1.3214
REGION,SDSOFPVSB3,SDREN,2068.0,-1.3214
REGION,SDSOFPVSB3,SDREN,2069.0,-1.9066
REGION,SDSOFPVSB3,SDREN,2070.0,-1.8151
REGION,SDSOFPVSH3,SDREN,2033.0,-1.9505
REGION,SDSOFPVSH3,SDREN,2034.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2035.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2036.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2037.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2038.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2039.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2040.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2041.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2042.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2043.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2044.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2045.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2046.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2047.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2048.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2049.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2050.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2051.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2052.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2053.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2054.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2055.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2056.0,-6.8267
REGION,SDSOFPVSH3,SDREN,2057.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2058.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2059.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2060.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2061.0,-5.6656
REGION,SDSOFPVSH3,SDREN,2062.0,-5.7981
REGION,SDSOFPVSH3,SDREN,2063.0,-5.7981
REGION,SDSOFPVSH3,SDREN,2064.0,-4.637
REGION,SDSOFPVSH3,SDREN,2065.0,-4.637
REGION,SDSOFPVSH3,SDREN,2066.0,-4.6189
REGION,SDSOFPVSH3,SDREN,2067.0,-3.8919
REGION,SDSOFPVSH3,SDREN,2068.0,-5.0711
REGION,SDSOFPVSH3,SDREN,2069.0,-4.0425
REGION,SDSOFPVSH3,SDREN,2070.0,-3.4578
REGION,SDSOFPVSN3,SDREN,2058.0,-0.3753
REGION,SDSOFPVSN3,SDREN,2059.0,-0.3753
REGION,SDSOFPVSN3,SDREN,2060.0,-0.3053
REGION,SDSOFPVSN3,SDREN,2061.0,-0.3053
REGION,SDSOFPVSN3,SDREN,2062.0,-0.2456
REGION,SDSOFPVSN3,SDREN,2063.0,-0.2456
REGION,SDSOFPVSN3,SDREN,2064.0,-0.1792
REGION,SDSOFPVSN3,SDREN,2065.0,-0.1792
REGION,SDSOFPVSN3,SDREN,2066.0,-0.2389
REGION,SDSOFPVSN3,SDREN,2067.0,-0.1446
REGION,SDSOFPVSN3,SDREN,2068.0,-0.1792
REGION,SDSOFPVSN3,SDREN,2069.0,-0.2147
REGION,SDSOFPVSN3,SDREN,2070.0,-0.2707
REGION,SDSOU1P03X,SDREN,2031.0,-14.5266
REGION,SDSOU1P03X,SDREN,2032.0,-35.2663
REGION,SDSOU1P03X,SDREN,2033.0,-56.006
REGION,SDSOU1P03X,SDREN,2034.0,-76.7457
REGION,SDSOU1P03X,SDREN,2035.0,-79.9006
REGION,SDSOU1P03X,SDREN,2036.0,-100.6404
REGION,SDSOU1P03X,SDREN,2037.0,-121.3801
REGION,SDSOU1P03X,SDREN,2038.0,-142.1198
REGION,SDSOU1P03X,SDREN,2039.0,-162.8595
REGION,SDSOU1P03X,SDREN,2040.0,-183.5992
REGION,SDSOU1P03X,SDREN,2041.0,-220.9654
REGION,SDSOU1P03X,SDREN,2042.0,-262.4449
REGION,SDSOU1P03X,SDREN,2043.0,-299.7338
REGION,SDSOU1P03X,SDREN,2044.0,-341.2133
REGION,SDSOU1P03X,SDREN,2045.0,-382.6927
REGION,SDSOU1P03X,SDREN,2046.0,-423.8593
REGION,SDSOU1P03X,SDREN,2047.0,-463.711
REGION,SDSOU1P03X,SDREN,2048.0,-502.8791
REGION,SDSOU1P03X,SDREN,2049.0,-547.1478
REGION,SDSOU1P03X,SDREN,2050.0,-584.7891
REGION,SDSOU1P03X,SDREN,2051.0,-624.5677
REGION,SDSOU1P03X,SDREN,2052.0,-666.21
REGION,SDSOU1P03X,SDREN,2053.0,-700.6212
REGION,SDSOU1P03X,SDREN,2054.0,-739.9342
REGION,SDSOU1P03X,SDREN,2055.0,-779.3289
REGION,SDSOU1P03X,SDREN,2056.0,-805.9271
REGION,SDSOU1P03X,SDREN,2057.0,-827.6876
REGION,SDSOU1P03X,SDREN,2058.0,-849.6371
REGION,SDSOU1P03X,SDREN,2059.0,-866.6235
REGION,SDSOU1P03X,SDREN,2060.0,-899.886
REGION,SDSOU1P03X,SDREN,2061.0,-912.1065
REGION,SDSOU1P03X,SDREN,2062.0,-929.8616
REGION,SDSOU1P03X,SDREN,2063.0,-946.0381
REGION,SDSOU1P03X,SDREN,2064.0,-957.412
REGION,SDSOU1P03X,SDREN,2065.0,-962.8039
REGION,SDSOU1P03X,SDREN,2066.0,-954.661
REGION,SDSOU1P03X,SDREN,2067.0,-953.1174
REGION,SDSOU1P03X,SDREN,2068.0,-1016.4453
REGION,SDSOU1P03X,SDREN,2069.0,-955.4444
REGION,SDSOU1P03X,SDREN,2070.0,-932.9646
REGION,SDSOV1F01X,SDREN,2015.0,0.0
REGION,SDSOV1F01X,SDREN,2016.0,0.0
REGION,SDSOV1F01X,SDREN,2017.0,0.0
REGION,SDSOV1F01X,SDREN,2018.0,0.0
REGION,SDSOV1F01X,SDREN,2019.0,0.0
REGION,SDSOV1F01X,SDREN,2020.0,0.0
REGION,SDSOV1F01X,SDREN,2021.0,-2.3547
REGION,SDSOV1F01X,SDREN,2022.0,-1.1033
REGION,SDSOV1F01X,SDREN,2023.0,-0.6878
REGION,SDSOV1F01X,SDREN,2024.0,-0.4813
REGION,SDSOV1F01X,SDREN,2025.0,-0.3583
REGION,SDSOV1F01X,SDREN,2026.0,-0.2771
REGION,SDSOV1F01X,SDREN,2027.0,-0.2198
REGION,SDSOV1F01X,SDREN,2028.0,-0.1774
REGION,SDSOV1F01X,SDREN,2029.0,-0.145
REGION,SDSOV1F01X,SDREN,2030.0,-0.1195
REGION,SDSOV1F01X,SDREN,2031.0,-0.1139
REGION,SDSOV1F01X,SDREN,2032.0,-0.1083
REGION,SDSOV1F01X,SDREN,2033.0,-0.1027
REGION,SDSOV1F01X,SDREN,2034.0,-0.0971
REGION,SDSOV1F01X,SDREN,2035.0,-0.0501
REGION,SDSOV1F01X,SDREN,2036.0,-0.0306
REGION,SDSOV1F01X,SDREN,2037.0,-0.0112
REGION,SDSOV1F01X,SDREN,2038.0,-0.0056
REGION,SDSOV1F01X,SDREN,2061.0,-18.4172
REGION,SDSOV1F01X,SDREN,2062.0,-37.6006
REGION,SDSOV1F01X,SDREN,2063.0,-58.6752
REGION,SDSOV1F01X,SDREN,2064.0,-83.6144
REGION,SDSOV1F01X,SDREN,2065.0,-109.4472
REGION,SDSOV1F01X,SDREN,2066.0,-136.1959
REGION,SDSOV1F01X,SDREN,2067.0,-163.884
REGION,SDSOV1F01X,SDREN,2068.0,-192.5354
REGION,SDSOV1F01X,SDREN,2069.0,-222.1753
REGION,SDSOV1F01X,SDREN,2070.0,-252.8295
REGION,SDSOV2F01X,SDREN,2057.0,-9.0705
REGION,SDSOV2F01X,SDREN,2058.0,-18.141
REGION,SDSOV2F01X,SDREN,2059.0,-31.7773
REGION,SDSOV2F01X,SDREN,2060.0,-42.3698
REGION,SDSOV2F01X,SDREN,2061.0,-52.9622
REGION,SDSOV2F01X,SDREN,2062.0,-63.5546
REGION,SDSOV2F01X,SDREN,2063.0,-74.1471
REGION,SDSOV2F01X,SDREN,2064.0,-84.7395
REGION,SDSOV2F01X,SDREN,2065.0,-95.332
REGION,SDSOV2F01X,SDREN,2066.0,-105.9244
REGION,SDSOV2F01X,SDREN,2067.0,-116.5168
REGION,SDSOV2F01X,SDREN,2068.0,-127.1093
REGION,SDSOV2F01X,SDREN,2069.0,-137.7017
REGION,SDSOV2F01X,SDREN,2070.0,-148.2942
REGION,SSCR00E00X,SSCO2,2015.0,-22.113
REGION,SSCR00E00X,SSCO2,2016.0,-17.5285
REGION,SSCR00E00X,SSCO2,2017.0,-16.211
REGION,SSCR00E00X,SSCO2,2018.0,-12.3316
REGION,SSCR00E00X,SSCO2,2019.0,-12.3316
REGION,SSCR00E00X,SSCO2,2020.0,-12.3316
REGION,SSCR00E00X,SSCO2,2021.0,-12.3316
REGION,SSCR00E00X,SSCO2,2022.0,-12.3316
REGION,SSCR00E00X,SSCO2,2023.0,-12.3316
REGION,SSCR00E00X,SSCO2,2024.0,-12.3316
REGION,SSCR00E00X,SSCO2,2025.0,-12.3316
REGION,SSCR00E00X,SSCO2,2026.0,-12.3316
REGION,SSCR00E00X,SSCO2,2027.0,-12.3316
REGION,SSCR00E00X,SSCO2,2028.0,-12.3316
REGION,SSCR00E00X,SSCO2,2029.0,-12.3316
REGION,SSCR00I00X,SSCO2,2030.0,0.0218
REGION,SSCR00I00X,SSCO2,2031.0,0.0218
REGION,SSCR00I00X,SSCO2,2032.0,0.0218
REGION,SSCR00I00X,SSCO2,2033.0,0.0218
