r,t,y,AnnualFixedOperatingCost
REGION,EGNGCCP04N,2060, 1.1985723945479995e+02
REGION,EGNGCCP04N,2061, 1.1985723945479995e+02
REGION,EGNGCCP04N,2062, 1.1985723945479995e+02
REGION,EGNGCCP04N,2063, 1.1985723945479995e+02
REGION,EGNGCCP04N,2064, 1.1985723945479995e+02
REGION,EGNGCCP04N,2065, 1.1985723945479995e+02
REGION,EGNGCCP04N,2066, 1.1985723945479995e+02
REGION,EGNGCCP04N,2067, 1.1985723945479995e+02
REGION,EGNGCCP04N,2068, 1.1985723945479995e+02
REGION,EGNGCCP04N,2069, 1.1985723945479995e+02
REGION,EGNGCCP04N,2070, 1.1985723945479995e+02
REGION,EGNGCCC01N,2040, 2.4683471416149555e+01
REGION,EGNGCCC01N,2041, 2.4683471416149555e+01
REGION,EGNGCCC01N,2042, 2.4683471416149555e+01
REGION,EGNGCCC01N,2043, 2.4683471416149555e+01
REGION,EGNGCCC01N,2044, 2.4683471416149555e+01
REGION,EGNGCCC01N,2045, 2.4683471416149555e+01
REGION,EGNGCCC01N,2046, 3.9819673614972146e+01
REGION,EGNGCCC01N,2047, 3.9819673614972146e+01
REGION,EGNGCCC01N,2048, 1.3237049600989005e+02
REGION,EGNGCCC01N,2049, 1.3237049600989005e+02
REGION,EGNGCCC01N,2050, 1.3237049600989005e+02
REGION,EGNGCCC01N,2051, 1.3237049600989005e+02
REGION,EGNGCCC01N,2052, 1.3237049600989005e+02
REGION,EGNGCCC01N,2053, 1.3237049600989005e+02
REGION,EGNGCCC01N,2054, 1.3237049600989005e+02
REGION,EGNGCCC01N,2055, 1.3237049600989005e+02
REGION,EGNGCCC01N,2056, 1.3237049600989005e+02
REGION,EGNGCCC01N,2057, 1.3237049600989005e+02
REGION,EGNGCCC01N,2058, 1.3237049600989005e+02
REGION,EGNGCCC01N,2059, 1.3237049600989005e+02
REGION,EGNGCCC01N,2060, 1.3237049600989005e+02
REGION,EGNGCCC01N,2061, 1.3237049600989005e+02
REGION,EGNGCCC01N,2062, 1.3237049600989005e+02
REGION,EGNGCCC01N,2063, 1.3237049600989005e+02
REGION,EGNGCCC01N,2064, 1.3237049600989005e+02
REGION,EGNGCCC01N,2065, 1.3237049600989005e+02
REGION,EGNGCCC01N,2066, 1.3237049600989005e+02
REGION,EGNGCCC01N,2067, 1.3237049600989005e+02
REGION,EGNGCCC01N,2068, 1.3237049600989005e+02
