r,t,y,AnnualVariableOperatingCost
REGION,EGBM00X00X,2021, 1.5955983882228190e+02
REGION,EGBM00X00X,2022, 173.45173776825
REGION,EGBM00X00X,2023, 1.8335057964685618e+02
REGION,EGBM00X00X,2024, 1.9315454196852036e+02
REGION,EGBM00X00X,2025, 1.9550880666438925e+02
REGION,EGBM00X00X,2026, 2.0512570927849072e+02
REGION,EGBM00X00X,2027, 2.1465040904605979e+02
REGION,EGBM00X00X,2028, 2.2408377580527127e+02
REGION,EGBM00X00X,2029, 2.3342666848723781e+02
REGION,EGBM00X00X,2030, 3.1320201977781386e+02
REGION,EGBM00X00X,2031, 3.5606834975859380e+02
REGION,EGBM00X00X,2032, 3.9893467973937510e+02
REGION,EGBM00X00X,2033, 4.4180100972015470e+02
REGION,EGBM00X00X,2034, 4.8466733970093424e+02
REGION,EGBM00X00X,2035, 5.2753366968171554e+02
REGION,EGBM00X00X,2036, 5.7187114399923155e+02
REGION,EGBM00X00X,2037, 616.208618316749
REGION,EGBM00X00X,2038, 6.6054609263426482e+02
REGION,EGBM00X00X,2039, 7.0488356695178061e+02
REGION,EGBM00X00X,2040, 7.4922104126929810e+02
REGION,EGBM00X00X,2041, 7.8117038263730819e+02
REGION,EGBM00X00X,2042, 8.1311972400531670e+02
REGION,EGBM00X00X,2043, 8.3773694537332676e+02
REGION,EGBM00X00X,2044, 8.5502204674133691e+02
REGION,EGBM00X00X,2045, 8.7230714810934717e+02
REGION,EGBM00X00X,2046, 8.8959224947735720e+02
REGION,EGBM00X00X,2047, 9.0687735084536723e+02
REGION,EGBM00X00X,2048, 9.2416245221337567e+02
REGION,EGBM00X00X,2049, 9.4144755358138593e+02
REGION,EGBM00X00X,2050, 9.5873265494939608e+02
REGION,EGBM00X00X,2051, 991.053827266641
REGION,EGBM00X00X,2052, 1.0237881718001095e+03
REGION,EGBM00X00X,2053, 1.0496132367796613e+03
REGION,EGBM00X00X,2054, 1.0685389166717339e+03
REGION,EGBM00X00X,2055, 1.0879074574732815e+03
REGION,EGBM00X00X,2056, 1.0979860664457449e+03
REGION,EGBM00X00X,2057, 1.1182716603950062e+03
REGION,EGBM00X00X,2058, 1.1390319372426795e+03
REGION,EGBM00X00X,2059, 1.1602780045685893e+03
REGION,EGBM00X00X,2060, 1.1820212298699250e+03
REGION,EGBM00X00X,2061, 1.2003759843697751e+03
REGION,EGBM00X00X,2062, 1.2192514360621235e+03
