,y,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant with CCS - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - CCS - Air cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Nuclear power plant - OTS/OTF cooling (new),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
44,2059.0,43.9927,3.1675,0.0,0.0,0.0,0.0,0.0,173.1255,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,49.7125,221.9713,9.5621,42.0241,0.0,98.561,0.0,40.1541,0.0,0.0,4.0677,0.0,93.8196,96.3738,0.0,115.1302,13.3484,19.6556,216.3485,163.6385
45,2060.0,43.9927,3.1675,0.0,0.0,0.0,0.0,0.0,172.1945,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,31.662,0.0,93.7702,0.0,53.2954,0.0,0.0,3.7272,0.0,93.8196,106.4476,17.023,116.7987,13.6821,20.147,219.484,173.2643
46,2061.0,43.9927,1.5837,0.0,0.0,0.0,0.0,0.0,171.4458,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,35.0489,0.0,103.7686,0.0,40.1541,0.0,0.0,3.8491,0.0,93.8196,109.0439,34.0792,120.1359,14.0158,20.6384,225.755,186.0987
47,2062.0,43.9927,0.0,0.0,0.0,0.0,0.0,0.0,171.0229,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,40.6339,0.0,40.2709,0.0,97.83,0.0,0.0,4.0943,0.0,93.8196,111.6402,52.3462,123.473,14.3496,21.1298,232.0259,198.9331
48,2063.0,43.9927,0.0,0.0,0.0,0.0,0.0,0.0,169.6659,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,31.662,0.0,98.1146,0.0,48.8425,0.0,0.0,4.1355,0.0,93.8196,114.2364,71.2595,126.8101,14.6833,21.6212,238.2969,211.7675
49,2064.0,43.9927,0.0,0.0,0.0,0.0,0.0,0.0,168.2707,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.3153,221.9713,9.5621,31.662,0.0,115.336,0.0,31.5856,0.0,0.0,4.0949,0.0,93.8196,116.8327,91.5961,130.1472,15.017,22.1126,244.5679,224.6019
50,2065.0,43.9927,0.0,0.0,0.0,0.0,0.0,0.0,166.8363,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.2138,31.9875,0.0,102.3971,0.0,44.1503,0.0,0.0,4.0922,0.0,93.8196,119.429,113.3079,133.4843,15.3507,22.604,250.8389,237.4363
51,2066.0,43.9927,0.0,0.0,0.0,0.0,0.0,0.0,162.1668,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,21.0696,0.0,112.0768,0.0,46.8183,0.0,0.0,4.0922,0.0,93.8196,122.0253,142.3371,135.1528,15.6844,23.0954,253.9743,250.2707
52,2067.0,43.9927,0.0,0.0,15.3132,0.0,0.0,0.0,161.1972,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,33.4439,0.0,98.1146,0.0,47.1696,0.0,0.0,4.0302,0.0,93.8196,124.6216,156.7883,136.8214,16.0181,23.5868,257.1098,263.1051
53,2068.0,43.9927,0.0,0.0,56.5329,0.0,0.0,0.0,160.5618,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,21.0696,0.0,106.4278,0.0,45.8379,0.0,0.0,4.0922,0.0,93.8196,127.2179,160.0547,138.4899,16.3518,24.0781,260.2453,266.3137
