,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Roseires FPV,Sabaloka FPV,Sennar FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
46,2061.0,0.0,103.3844,-132.376,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,41.9236,260.948,90.7923
47,2062.0,0.0,104.4234,-128.0938,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,41.9236,269.715,90.7923
48,2063.0,0.0,105.7141,-123.0665,3.7708999999999997,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,41.9236,277.8499,90.7923
49,2064.0,0.0,106.0897,-119.5911,3.7264,10.7222,0.0,0.0,18.4556,9.113,0.5123,8.1111,4.497,34.9958,0.2347,21.4358,40.5198,6.0501,5.8472,0.4209,9.2481,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,46.4818,285.3119,90.7923
50,2065.0,0.0,103.148,-122.2858,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,34.2577,0.2347,20.4776,40.5198,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,64.2587,292.0577,90.7923
51,2066.0,0.0,97.5716,-124.8729,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,20.4776,39.9403,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,1.7476,0.8348,0.0472,0.9539,0.8361,3.9643,0.6068,0.5284,0.0602,1.1178,82.0356,301.4847,90.7923
52,2067.0,0.0,93.5937,-125.8608,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,20.4776,38.7086,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,2.1018,0.8348,0.0472,0.9539,0.8361,3.9643,0.7525,0.6439,0.0602,1.1178,97.3902,308.3102,90.7923
53,2068.0,0.0,92.5907,-123.9313,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,20.4776,38.7086,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,2.1018,0.8348,0.0472,0.9539,0.8361,3.9643,0.7525,0.6439,0.0602,1.1178,113.7789,308.5181,90.7923
54,2069.0,0.0,91.2658,-122.2358,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,20.4776,38.7086,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,2.1018,0.8348,0.0472,0.9539,0.8361,3.9643,0.7525,0.6439,0.0602,1.1178,118.7127,320.1031,90.7923
55,2070.0,0.0,91.7654,-118.7194,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,20.4776,38.7086,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,2.1018,0.8348,0.0472,0.9539,0.8361,3.9643,0.7525,0.6439,0.0602,1.1178,125.9489,326.5989,90.7923
